Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/SiteMap/Resources/VIN Information/span_VIN Information""))",Chrome 74.0.3729.169,,,2019-05-28 19:42:16,2019-05-28 19:42:18,1.607s,PASSED
delay(5),Chrome 74.0.3729.169,,,2019-05-28 19:42:18,2019-05-28 19:42:23,5.003s,PASSED
"verifyElementText(findTestObject(""SiteMap/Resources/VIN Information/h1_Vehicle Identification Number (VIN) information""), ""Vehicle Identification Number (VIN) information"")",Chrome 74.0.3729.169,,,2019-05-28 19:42:23,2019-05-28 19:42:23,0.062s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:42:23,2019-05-28 19:42:24,0.902s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Resources/Warranty Info,Chrome 74.0.3729.169,,,2019-05-28 19:42:24,2019-05-28 19:42:40,16.342s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:42:24,2019-05-28 19:42:30,5.728s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:42:30,2019-05-28 19:42:31,1.135s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:42:31,2019-05-28 19:42:34,3.112s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Resources/Warranty Info/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:42:34,2019-05-28 19:42:34,0.138s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Resources/Warranty Info/span_Warranty Info""))",Chrome 74.0.3729.169,,,2019-05-28 19:42:34,2019-05-28 19:42:36,1.932s,PASSED
delay(3),Chrome 74.0.3729.169,,,2019-05-28 19:42:36,2019-05-28 19:42:39,3.008s,PASSED
"verifyElementText(findTestObject(""SiteMap/Resources/Warranty Info/h1_Warranty information""), ""Warranty information"")",Chrome 74.0.3729.169,,,2019-05-28 19:42:39,2019-05-28 19:42:39,0.075s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:42:39,2019-05-28 19:42:40,0.942s,PASSED
